Ohrmarkennummer,Datum,Klaue,Relative Klauenfläche (=Aussen/Innen),Mess Nr.,Gruppe,Geburtsdatum,Alter [Tage]
979301569,2022-04-20,rechts,0.799,3,Gelb,2019-12-30,842.0
979301569,2023-04-18,rechts,1.136,4,Gelb,2019-12-30,1205.0
979301569,2024-12-11,rechts,1.0457,5,Gelb,2019-12-30,1808.0
979303769,2021-04-13,links,1.2553,1,,2020-01-05,464.0
979303769,2022-04-20,links,1.3331,2,,2020-01-05,836.0
979303769,2021-04-13,rechts,1.1253,1,,2020-01-05,464.0
979303769,2022-04-20,rechts,1.3956,2,,2020-01-05,836.0
979306169,2021-04-13,links,0.9523,1,Weiß,2020-02-20,418.0
979306169,2022-04-20,links,1.1374,2,Weiß,2020-02-20,790.0
979306169,2023-04-18,links,1.0865,3,Weiß,2020-02-20,1153.0
979306169,2024-12-11,links,1.2517,4,Weiß,2020-02-20,1756.0
979306169,2021-04-13,rechts,0.9486,1,Weiß,2020-02-20,418.0
979306169,2022-04-20,rechts,0.7697,2,Weiß,2020-02-20,790.0
979306169,2023-04-18,rechts,1.3844,3,Weiß,2020-02-20,1153.0
979306169,2024-12-11,rechts,1.2549,4,Weiß,2020-02-20,1756.0
979315269,2021-04-13,links,1.2242,1,Weiß,2020-03-07,402.0
979315269,2021-11-08,links,0.936,2,Weiß,2020-03-07,611.0
979315269,2021-04-13,rechts,0.9558,1,Weiß,2020-03-07,402.0
